id,rgb_frame,ir_frame,fire,smoke
39361,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (39361).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (39361).jpg,True,False
40244,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (40244).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (40244).jpg,True,False
34499,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (34499).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (34499).jpg,True,True
24603,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (24603).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (24603).jpg,True,True
37132,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (37132).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (37132).jpg,True,False
45809,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (45809).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (45809).jpg,True,False
43684,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (43684).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (43684).jpg,True,True
47019,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (47019).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (47019).jpg,True,False
47701,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (47701).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (47701).jpg,True,False
13360,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (13360).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (13360).jpg,False,False
19943,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (19943).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (19943).jpg,True,True
22357,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (22357).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (22357).jpg,True,True
27760,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (27760).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (27760).jpg,True,True
35319,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (35319).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (35319).jpg,True,True
45689,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (45689).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (45689).jpg,True,False
40475,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (40475).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (40475).jpg,True,False
46241,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (46241).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (46241).jpg,True,False
46932,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (46932).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (46932).jpg,True,False
